Name,Latitude,longitude
Sablé-sur-sarthe,47.8333015441895,-0.333299994468689
Ryde,-33.8166999816895,151.100006103516
Eau Claire,44.7899017333984,-91.543098449707
State College,40.7911987304688,-77.8746032714844
Barcelona,41.38330078125,2.18330001831055
Gateshead,54.9449996948242,-1.61749994754791
Oakland,37.8308982849121,-122.219596862793
Bergen,60.3911018371582,5.32469987869263
Kingston,44.2332992553711,-76.4832992553711
Somerville,42.4019012451172,-71.1193008422852
Hemel Hempstead,51.75,-0.466699987649918
Trois-rivières,46.3499984741211,-72.5500030517578
Newcastle Upon Tyne,54.9880981445312,-1.61940002441406
San Diego,32.7976989746094,-117.132202148438
Houston,29.7754993438721,-95.4151992797852
Le Vésinet,48.9000015258789,2.11669993400574
Frederiksberg,55.4166984558105,11.5666999816895
Philadelphia,39.9597015380859,-75.1968002319336
Barcelona,41.38330078125,2.18330001831055
São Paulo,-23.5333003997803,-46.61669921875
Philadelphia,39.9967994689941,-75.1484985351562
Hedesunda,60.4000015258789,17
San Francisco,37.7630996704102,-122.458602905273
Lawrenceville,33.9542999267578,-84.0101013183594
Somerville,42.4019012451172,-71.1193008422852
Dresden,51.0499992370605,13.75
Wakefield,53.7000007629395,-1.48329997062683
Edinburgh,55.9500007629395,-3.20000004768372
New York,40.7619018554688,-73.9763031005859
Cranfield,52.0666999816895,-0.600000023841858
Auburn Hills,42.6643981933594,-83.2303009033203
A Coruña,43.36669921875,-8.38329982757568
Coralville,41.6945991516113,-91.5953979492188
Arth,47.0666999816895,8.51669979095459
London,51.5001983642578,-0.126200005412102
Rockville,39.0526008605957,-77.1210021972656
Ipswich,52.0833015441895,1.16670000553131
Riyadh,24.6408004760742,46.7728004455566
Gainesville,29.6693992614746,-82.3572006225586
Rockville,39.0806999206543,-77.1302032470703
Newport,39.0108985900879,-84.4335021972656
Kansas City,39.0344009399414,-94.5721969604492
Solna,59.36669921875,18.0167007446289
University Park,40.8077011108398,-77.8613967895508
Quebec,46.7999992370605,-71.25
Ludwigshafen,49.4810981750488,8.43529987335205
,54,-2
Paris,48.86669921875,2.33330011367798
Antwerp,51.2167015075684,4.41669988632202
Kingston Upon Hull,53.7167015075684,-0.333299994468689
State College,40.7911987304688,-77.8746032714844
Danville,36.6291999816895,-79.4933013916016
Mumbai,18.9750003814697,72.825798034668
Turku,60.4500007629395,22.2833003997803
Manchester,53.5,-2.21670007705688
Ames,42.0477981567383,-93.6416015625
,1,38
Dunedin,-45.86669921875,170.5
Germantown,39.1316986083984,-77.2880020141602
Stockholm,59.3333015441895,18.0499992370605
Lausanne,46.5332984924316,6.66669988632202
Charlottesville,38.032901763916,-78.5137023925781
Atlanta,33.7762985229492,-84.3980026245117
San Diego,32.7976989746094,-117.132202148438
London,51.5001983642578,-0.126200005412102
Rockville,39.0806999206543,-77.1302032470703
Preston,53.7667007446289,-2.71670007705688
London,51.5001983642578,-0.126200005412102
Chapel Hill,36.0525016784668,-79.1076965332031
Sydney,-33.88330078125,151.216705322266
Benthuizen,52.0833015441895,4.55000019073486
Dallastown,39.8843994140625,-76.6540985107422
Athens,33.9650001525879,-83.3891983032227
District Heights,38.8516006469727,-76.883903503418
Aberdeen,57.13330078125,-2.09999990463257
Bellevue,47.6153984069824,-122.210296630859
Copenhagen,55.6666984558105,12.5832996368408
Sydney,-33.88330078125,151.216705322266
Gentilly,48.8166999816895,2.33330011367798
Edinburgh,55.9500007629395,-3.20000004768372
Manchester,53.5,-2.21670007705688
Berlin,52.5167007446289,13.3999996185303
Barcelona,41.38330078125,2.18330001831055
,38,-97
Hayward,37.6292991638184,-122.116302490234
London,51.5001983642578,-0.126200005412102
Philadelphia,39.9967994689941,-75.1484985351562
Moscow,55.7522010803223,37.6156005859375
Cambridge,42.3646011352539,-71.1027984619141
Palo Alto,37.4225006103516,-122.142303466797
San Francisco,37.769100189209,-122.444900512695
Cambridge,42.3646011352539,-71.1027984619141
Boston,42.342399597168,-71.0877990722656
Gravataí,-29.9500007629395,-50.9832992553711
New Haven,41.3111000061035,-72.9241027832031
Boston,42.3424987792969,-71.0677032470703
Lyon,45.75,4.84999990463257
Perth,-31.9333000183105,115.833297729492
Weng,48.2332992553711,13.1833000183105
Santa Clara,37.3485984802246,-121.950996398926
Frederick,39.342700958252,-77.3781967163086
Bloomington,39.1679000854492,-86.5168991088867
Utrecht,52.0833015441895,5.13329982757568
New York,40.769401550293,-73.9608993530273
Berkeley,37.878101348877,-122.271003723145
Upminster,51.5499992370605,0.25
Vancouver,49.25,-123.13330078125
Nijmegen,51.8333015441895,5.86670017242432
Kingston,44.2332992553711,-76.4832992553711
Berlin,52.5167007446289,13.3999996185303
London,51.5001983642578,-0.126200005412102
Cambridge,52.2000007629395,0.116700001060963
Glasgow,55.8333015441895,-4.25
Raleigh,35.7462997436523,-78.7238998413086
Ryde,-33.8166999816895,151.100006103516
Oslo,59.9166984558105,10.75
Cape Town,-33.9166984558105,18.4167003631592
Urbana,40.1095008850098,-88.2123031616211
Munich,48.1500015258789,11.5832996368408
Wellington,-41.2999992370605,174.783294677734
Helsinki,60.1755981445312,24.9342002868652
Wageningen,51.9667015075684,5.66669988632202
Seattle,47.432300567627,-121.803398132324
Hull,53.7167015075684,-0.333299994468689
Guangzhou,23.11669921875,113.25
Marseille,43.2999992370605,5.40000009536743
Singapore,1.2930999994278,103.855796813965
Lansing,42.6972999572754,-84.5302963256836
Inis,52.8436012268066,-8.98639965057373
Kansas City,39.0344009399414,-94.5721969604492
Ithaca,42.4485015869141,-76.4804000854492
